subject,csp_intersession,fbcsp_intersession,csp_kfold,fbcsp_kfold
1,0.7375886524822695,0.7588652482269503,0.718796992481203,0.7862781954887217
2,0.6170212765957447,0.5815602836879432,0.6273182957393484,0.6419172932330828
3,0.851063829787234,0.8226950354609929,0.9077694235588971,0.8899122807017544
4,0.5857142857142857,0.5571428571428572,0.5833959899749374,0.5445488721804511
5,0.5106382978723404,0.723404255319149,0.5142857142857142,0.7588972431077694
6,0.5531914893617021,0.5460992907801419,0.6465538847117794,0.5367167919799498
7,0.5531914893617021,0.8368794326241135,0.7057644110275689,0.8933583959899749
8,0.8156028368794326,0.6737588652482269,0.8651629072681704,0.8474937343358395
9,0.49645390070921985,0.3971631205673759,0.6182330827067669,0.6427318295739349
